tipo	idade	sexo	civil	valor	expos	nsinist
mono	35	F	Casado	40.275	0.8	0
sedan	37	M	Casado	59.894	0.76	0
sedan	45	F	Viuvo	64.766	0.78	0
sedan	62	M	Casado	41.89	0.37	0
mono	58	F	Casado	48.021	0.8	1
sedan	72	M	Casado	45.652	0.01	0
hatch	57	F	Casado	49.511	0.76	0
mono	63	F	Casado	57.109	0.81	0
sedan	50	M	Divorciado	71.278	0.05	0
picape	39	F	Casado	9.29	0.78	0
hatch	39	M	Casado	21.032	0.8	0
hatch	35	F	Casado	12.87	0.81	0
suv	41	M	Casado	31.284	0.76	1
suv	76	M	Casado	54.221	0.02	0
hatch	28	M	Solteiro	32.126	0.77	0
hatch	65	F	Divorciado	28.321	0.82	0
hatch	67	M	Casado	11.83	0.77	0
hatch	34	M	Solteiro	70.215	0.82	0
hatch	64	M	Casado	18.677	0.82	0
hatch	58	M	Casado	33.65	0.83	0
hatch	31	M	Casado	28.439	0.16	0
sedan	60	M	Casado	28.903	0.81	0
sedan	67	F	Casado	57.88	0.28	0
hatch	36	F	Solteiro	11.153	0.8	0
sedan	47	F	Solteiro	33.023	0.03	0
sedan	31	M	Casado	77.545	0.04	0
sedan	54	M	Casado	34.624	0.81	0
mono	34	F	Casado	20.345	0.83	0
wagon	41	F	Divorciado	26.257	0.67	1
hatch	38	F	Casado	24.668	0.27	0
hatch	56	F	Casado	22.401	0.79	0
sedan	43	M	Casado	39.876	0.01	0
suv	48	M	Casado	36.093	0.83	0
sedan	57	M	Casado	38.848	0.16	0
hatch	64	M	Casado	18.999	0.65	0
hatch	55	F	Casado	33.65	0.21	0
picape	30	M	Casado	26.177	0.81	0
hatch	38	M	Divorciado	23.898	0.8	0
picape	37	M	Casado	61.593	0.77	1
hatch	20	F	Solteiro	19.35	0.79	0
hatch	34	F	Solteiro	34.337	0.76	0
mono	46	M	Casado	39.614	0.84	0
hatch	37	M	Solteiro	19.009	0.39	1
suv	63	F	Casado	24.516	0.52	0
hatch	35	M	Casado	24.914	0.76	0
hatch	38	M	Casado	14.463	0.77	0
sedan	37	F	Casado	48.541	0.22	0
suv	39	F	Casado	48.888	0.82	0
sedan	59	M	Casado	22.967	0.82	0
suv	46	M	Casado	126.915	0.6	0
suv	50	M	Casado	30.009	0.01	0
suv	50	F	Casado	52.524	0.77	0
wagon	25	M	Solteiro	21.378	0.76	0
hatch	73	M	Casado	20.1	0.76	0
sedan	61	M	Casado	25.102	0.8	0
sedan	50	F	Casado	37.241	0.79	2
hatch	39	F	Casado	45.41	0.69	0
sedan	51	M	Casado	59.034	0.76	0
sedan	56	F	Casado	18.174	0.17	0
sedan	31	M	Solteiro	15.742	0.76	0
sedan	53	M	Casado	59.894	0.54	0
picape	64	M	Casado	34.76	0.81	0
hatch	61	M	Casado	45.089	0.82	0
sedan	32	M	Casado	32.538	0.82	0
mono	61	F	Casado	23.889	0.1	0
suv	38	F	Casado	72.838	0.8	0
mono	27	F	Casado	47.52	0.8	0
suv	55	F	Casado	66.443	0.83	0
sedan	43	M	Solteiro	37.868	0.83	0
sedan	63	M	Casado	49.496	0.12	0
hatch	44	F	Casado	21.002	0.34	0
hatch	19	F	Solteiro	20.964	0.61	0
sedan	49	M	Casado	43.35	0.83	0
picape	35	M	Solteiro	33.326	0.79	0
hatch	59	F	Solteiro	19.761	0.82	0
sedan	67	M	Casado	18.109	0.83	0
hatch	58	F	Casado	28.066	0.77	2
picape	65	M	Casado	9.781	0.82	0
hatch	28	F	Casado	19.091	0.2	0
hatch	72	M	Casado	15.284	0.5	0
sedan	34	F	Casado	63.267	0.5	0
suv	77	M	Casado	79.869	0.8	0
sedan	45	M	Casado	25.844	0.78	0
sedan	59	F	Casado	37.662	0.3	0
sedan	71	M	Viuvo	52.54	0.77	0
wagon	45	M	Casado	18.044	0.8	0
hatch	66	F	Casado	35.947	0.43	0
hatch	36	M	Casado	20.123	0.16	0
hatch	62	M	Casado	28.81	0.77	0
sedan	68	M	Casado	44.904	0.76	0
hatch	51	F	Divorciado	8.652	0.81	0
suv	44	M	Casado	81.946	0.76	0
hatch	49	M	Casado	30.485	0.01	0
suv	53	F	Casado	51.21	0.42	0
hatch	54	M	Casado	15.498	0.83	0
hatch	74	M	Casado	32.126	0.01	0
sedan	47	F	Casado	32.436	0.25	0
picape	66	M	Casado	32.307	0.77	0
sedan	60	M	Casado	54.253	0.77	0
wagon	64	F	Divorciado	32.341	0.2	3
sedan	52	F	Casado	25.045	0.24	0
sedan	59	M	Casado	14.541	0.77	0
suv	72	F	Casado	58.813	0.79	0
hatch	41	F	Casado	32.781	0.2	0
hatch	40	M	Casado	40.801	0.3	0
