period	repart	corled	gaiola	dia	ovos
3	2	vrd	3	3	8
3	2	vrd	4	3	8
3	2	vrd	5	3	7
3	2	vrd	6	3	6
3	3	brn	1	3	7
3	3	brn	2	3	8
3	3	brn	3	3	6
3	3	brn	4	3	7
3	3	brn	5	3	7
3	3	brn	6	3	6
3	4	vrm	1	3	8
3	4	vrm	2	3	7
3	4	vrm	3	3	8
3	4	vrm	4	3	10
3	4	vrm	5	3	10
3	4	vrm	6	3	7
3	5	amr	1	3	10
3	5	amr	2	3	7
3	5	amr	3	3	6
3	5	amr	4	3	9
3	5	amr	5	3	8
3	5	amr	6	3	7
3	1	azl	1	4	7
3	1	azl	2	4	5
3	1	azl	3	4	7
3	1	azl	4	4	8
3	1	azl	5	4	9
3	1	azl	6	4	6
3	2	vrd	1	4	9
3	2	vrd	2	4	7
3	2	vrd	3	4	7
3	2	vrd	4	4	7
3	2	vrd	5	4	7
3	2	vrd	6	4	7
3	3	brn	1	4	10
3	3	brn	2	4	6
3	3	brn	3	4	9
3	3	brn	4	4	6
3	3	brn	5	4	7
3	3	brn	6	4	5
3	4	vrm	1	4	9
3	4	vrm	2	4	8
3	4	vrm	3	4	8
3	4	vrm	4	4	7
3	4	vrm	5	4	9
3	4	vrm	6	4	8
3	5	amr	1	4	10
3	5	amr	2	4	6
3	5	amr	3	4	6
3	5	amr	4	4	7
3	5	amr	5	4	6
3	5	amr	6	4	9
3	1	azl	1	5	7
3	1	azl	2	5	5
3	1	azl	3	5	6
3	1	azl	4	5	7
3	1	azl	5	5	7
3	1	azl	6	5	4
3	2	vrd	1	5	9
3	2	vrd	2	5	8
3	2	vrd	3	5	7
3	2	vrd	4	5	9
3	2	vrd	5	5	8
3	2	vrd	6	5	7
3	3	brn	1	5	10
3	3	brn	2	5	6
3	3	brn	3	5	7
3	3	brn	4	5	7
3	3	brn	5	5	9
3	3	brn	6	5	8
3	4	vrm	1	5	9
3	4	vrm	2	5	7
3	4	vrm	3	5	8
3	4	vrm	4	5	9
3	4	vrm	5	5	6
3	4	vrm	6	5	6
3	5	amr	1	5	10
3	5	amr	2	5	5
3	5	amr	3	5	8
3	5	amr	4	5	8
3	5	amr	5	5	7
3	5	amr	6	5	7
3	1	azl	1	6	8
3	1	azl	2	6	6
3	1	azl	3	6	6
3	1	azl	4	6	5
3	1	azl	5	6	4
3	1	azl	6	6	6
3	2	vrd	1	6	8
3	2	vrd	2	6	7
3	2	vrd	3	6	7
3	2	vrd	4	6	8
3	2	vrd	5	6	7
3	2	vrd	6	6	4
3	3	brn	1	6	8
3	3	brn	2	6	7
3	3	brn	3	6	7
3	3	brn	4	6	7
3	3	brn	5	6	7
3	3	brn	6	6	6
3	4	vrm	1	6	5
3	4	vrm	2	6	7
3	4	vrm	3	6	8
3	4	vrm	4	6	6
3	4	vrm	5	6	8
3	4	vrm	6	6	8
3	5	amr	1	6	7
3	5	amr	2	6	6
3	5	amr	3	6	8
3	5	amr	4	6	8
3	5	amr	5	6	7
3	5	amr	6	6	9
3	1	azl	1	7	6
3	1	azl	2	7	4
3	1	azl	3	7	9
3	1	azl	4	7	7
3	1	azl	5	7	9
3	1	azl	6	7	5
3	2	vrd	1	7	10
3	2	vrd	2	7	8
3	2	vrd	3	7	7
3	2	vrd	4	7	10
3	2	vrd	5	7	6
3	2	vrd	6	7	6
3	3	brn	1	7	9
3	3	brn	2	7	6
3	3	brn	3	7	9
